"","garrett_67","garrett_53","garrett_47","garrett_50","garrett_60","garrett_76","garrett_51","garrett_61","garrett_96","garrett_35","garrett_34","garrett_95","garrett_49","garrett_39","garrett_85","garrett_57","garrett_89","garrett_38","garrett_68","garrett_62","garrett_66","garrett_41","garrett_71","garrett_70","garrett_78","garrett_40","garrett_45","25617X23","25617X24","25617X25","25617X26","25617X27","25617X28","25617X29","25617X30","25617X31","25617X32","25617X33","25617X34","25617X35","25617X36","25617X37","25617X38","25617X39","25617X40","25617X41","25617X42"
"Pseudopedobacter saltans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000171243041824401,0.000279038099862155,9.70045951076702e-05,0.000159483698107992,0,4.15326287599748e-05,0.000117560686295774,0,0,0,0.000846090975086005,0,0.00016578936461226,0,0,0,0,0,0.000214402257226964,0
"Anseongella ginsenosidimutans",0,0,0,0,0,0,0,0.0144425187752744,0,0,0,0.00245694208987494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114162027882934,0,0,0.000159483698107992,5.25117967751455e-05,0.000166130515039899,0,0,0,0,0.000338436390034402,0,0.00033157872922452,0,0.000306986333582402,0.000404335010425104,0,0,0.000214402257226964,0
"Haliscomenobacter hydrossis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00298757170172084,0,0.00291877061381746,0,0,0,0,0,0,0,0.000171243041824401,0,0,0,0.000105023593550291,8.30652575199497e-05,0.000176341029443662,0,0,0,0.000169218195017201,0,0,0,0.000184191800149441,0,0,0,0,0
"Candidatus Sulfidibacterium hydrothermale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114162027882934,0,4.85022975538351e-05,5.31612327026639e-05,0,0.000124597886279925,5.87803431478872e-05,0,0,0,0.000169218195017201,0,0,0.000285416636935767,0,0.000134778336808368,0.000103046678084239,5.62695853325448e-05,0,0
"Prosthecochloris sp. SCSIO W1101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70810139414668e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prosthecochloris sp. HL-130-GSB",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000784147670689344,0,0,0,0,0.00150403080255084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000122794533432961,0,0,0,0,0
"Chlorobaculum sp. MV4-Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13972667164803e-05,0,0,0,0,0
"Chlorobium phaeovibrioides",0.00162129736214919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000103831571899937,0.000235121372591549,0,0,0,0.000169218195017201,0,0,0,0,0,0,0,0,0
"Chloroherpeton thalassium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.30126999540517e-05,0,0,0,6.22989431399623e-05,0.000117560686295774,0,0,0,0.000338436390034402,0,0,0,0,0,0,0,0,0
"Ignavibacterium sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160179400929041,0,0,0,0,0.00161680180435081,0,0,0,0,0,0,0.000228324055765867,9.30126999540517e-05,0,5.31612327026639e-05,0,0.000145364200659912,0,0,0,0,0.000169218195017201,0,0,0,0,0,0,0,0,0
"Melioribacter roseus",0.00162129736214919,0,0,0,0,0,0,0,0.00138091029606717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70810139414668e-05,9.30126999540517e-05,0,0.000106322465405328,0,6.22989431399623e-05,0.000293901715739436,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salinibacter ruber",0,0,0.00401558045215436,0,0,0,0,0,0.00138091029606717,0,0,0.00245694208987494,0,0,0,0,0,0.00298757170172084,0,0,0,0,0,0,0,0,0,0.000456648111531735,0.000744101599632414,0.000242511487769176,0.000478451094323975,0.000105023593550291,0.000581456802639648,0.000235121372591549,0,0,0,0.000846090975086005,0,0,0,6.13972667164803e-05,0.000269556673616736,0,0,0,0
"Cyclonatronum proteinivorum",0,0,0,0,0,0,0,0,0,0.000502975097702913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000456648111531735,0,0,0,0,2.07663143799874e-05,5.87803431478872e-05,0,0,0,0.000338436390034402,0,0,0,0.000122794533432961,0,0,0,0,0
"Fibrobacter succinogenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000784147670689344,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70810139414668e-05,0,9.70045951076702e-05,0.000531612327026639,0.000105023593550291,0.000207663143799874,5.87803431478872e-05,0,0,0,0,0,0,0,0.000122794533432961,0,0,0,0,0.000681328863815987
"Gemmatirosa kalamazoonensis",0,0,0,0,0,0,0,0,0,0.000502975097702913,0,0.00245694208987494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.30126999540517e-05,0,0,5.25117967751455e-05,4.15326287599748e-05,0.000352682058887323,0,0.00178814104856591,0,0,0,0,0,0.000122794533432961,0,0,0,0,0
"Candidatus Cloacimonas acidaminovorans",0.00162129736214919,0,0,0,0,0,0,0,0,0.000502975097702913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85022975538351e-05,0,5.25117967751455e-05,0,0,0,0,0,0,0.00105205571687077,0,0,0,0,0,0,0,0
"Flavonifractor plautii",0.189691791371455,0.0392788404886288,0.0240934827129262,0.00503727584122507,0,0,0.10521470375485,0.259965337954939,0.0787118868758285,0.023136854494334,0.128150363092695,0.00491388417974988,0.210378681626928,0.000784147670689344,0.328260220829603,0,0.0498670212765957,0.0074689292543021,0.0767055709300926,0.00437815592072619,0.00161680180435081,0.553385416666667,0.00323457109587269,0.0225703065047623,0.0834620039227142,0.0689801549400403,0,0.00262572664130747,0.0026973682986675,0.000873041355969032,0.00143535328297193,0.00225800726133126,0.000498391545119698,0.000705364117774647,0.0390300191756181,0.107288462913955,0.129936992816691,0.000507654585051603,0.0652274544459875,0.000994736187673561,0.000285416636935767,0.00104375353418017,0.000943448357658577,0.00412186712336954,0.000450156682660358,0,0.0340664431907993
"Faecalibacterium prausnitzii",4.3077870912304,0.278879767469264,0.421635947476208,0.680032238565384,0,0.0830978893136114,0.677319655421845,1.9208549971115,0.885163499779054,0.433061559122208,2.6911576249466,0.044224957617749,2.38429172510519,0.00313659068275738,3.71530886302596,0.0961076405574243,0.714760638297872,0.0388384321223709,0.157923234267838,0.0831849624937976,0.0105092117282803,6.41276041666667,0.0614568508215811,0.0789960727666682,0.086244070720138,1.0055184123952,0.102335100939622,0.0660998141442186,0.0672481820667794,0.0228445821478563,0.0289197105902492,0.0615963376172457,0.00481778493615708,0.0173402012286267,1.37283850056848,2.67863529075173,3.18713378606977,0.0441659488994895,1.49497117367336,0.021055249305757,0.0585104105718322,0.00429780867015362,0.026012219004015,0.0724418146932197,0.0123793087731599,0.0214402257226964,0.674515575177827
"Faecalibacterium sp. I4-1-79",0.455584558763923,0.00785576809772576,0.0682648676866241,0.141043723554302,0,0,0.0328795949233905,0.288850375505488,0.0607600530269554,0.0583451113335379,0.299017513882956,0,0.91164095371669,0,0.507311250373023,0.0961076405574243,0.0831117021276596,0.00448135755258126,0.0300806160510167,0.00729692653454365,0.00242520270652622,0.358072916666667,0,0.00451406130095247,0.00556413359484761,0.0663270720577311,0,0.00650723558932722,0.00958030809526733,0.0035891700189838,0.00388076998729447,0.00740416334529552,0.00056069048825966,0.00176341029443662,0.20533184001086,0.320077247693298,0.326068302728677,0.00778403697079125,0.241972814880276,0.00779210013677623,0.00371041628016497,0.000184191800149441,0.00673891684041841,0.0102016211303396,0.00157554838931125,0.00428804514453928,0.050418335922383
"Faecalibacterium sp. I3-3-33",0.366413203845717,0.0235673042931773,0.044171384973698,0.105782792665726,0,0,0.0394555139080687,0.216637781629116,0.0289991162174105,0.0508004848679942,0.555318240068347,0.00245694208987494,0.771388499298738,0,0.328260220829603,0.0320358801858081,0.0332446808510638,0,0.0240644928408134,0.00875631184145238,0.00161680180435081,0.78125,0.00646914219174537,0.0203132758542861,0.00556413359484761,0.0955109837631328,0.00930319099451112,0.00308237475283921,0.00595281279705931,0.0017945850094919,0.00164799821378258,0.00346577858715961,0.000249195772559849,0.00146950857869718,0.122180929593239,0.270009298333453,0.311358454485278,0.00423045487543003,0.155704246096873,0.00182368301073486,0.000856249910807301,0.000122794533432961,0.00188689671531715,0.00566756729463312,0.000168808755997634,0.00214402257226964,0.0722208595644946
"Faecalibacterium sp. IP-1-18",0.283727038376109,0.0117836521465886,0.0160623218086174,0.0453354825710256,0,0,0.0263036759387124,0.317735413056037,0.016570923552806,0.0357112319369068,0.213583938487826,0.00245694208987494,0.420757363253857,0,0.35810205908684,0.0320358801858081,0.0332446808510638,0.00298757170172084,0.0285765852484659,0.00875631184145238,0.00161680180435081,0.455729166666667,0,0.00902812260190493,0.00695516699355952,0.0265308288230924,0.0186063819890222,0.00228324055765867,0.00316243179843776,0.00121255743884588,0.00111638588675594,0.00336075499360932,0.000228429458179862,0.00117560686295774,0.0967265692613145,0.0643730777483728,0.112775503199392,0.00203061834020641,0.071539788747212,0.00182368301073486,0.00285416636935767,0.000613972667164803,0.0029651234097841,0.00350358705486411,0.000562695853325448,0,0.0313411277355354
"Faecalibacterium sp. HTF-F",0.265892767392467,0.00785576809772576,0.0321246436172349,0.0201491033649003,0,0,0.0854869468008154,0.0866551126516465,0.0939019001325674,0.0518064350634,0.427167876975651,0.0196555367189995,0.91164095371669,0.000784147670689344,0.507311250373023,0.0320358801858081,0.0166223404255319,0.00597514340344168,0.01804836963061,0.00583754122763492,0,0.48828125,0.0194074265752361,0.00902812260190493,0.013910333987119,0.100817149527751,0.0279095729835334,0.00810550397968829,0.00837114299586465,0.00349216542387613,0.00170115944648524,0.00719411615819494,0.000394559973219761,0.00246877441221126,0.100120483972238,0.370145197053144,0.326068302728677,0.00879934614089445,0.190422084753609,0.0033157872922452,0.00827708247113724,0.000122794533432961,0.00242601006255063,0.00844982760290757,0.00101285253598581,0.00321603385840446,0.0688142152454147
"Faecalibacterium sp. I4-3-84",0.207526062355097,0.0549903766840803,0.0240934827129262,0.0503727584122507,0,0.0166195778627223,0.131518379693562,0.187752744078567,0.193327441449403,0.0502975097702913,0.213583938487826,0,0.561009817671809,0,0.208892867800657,0,0.0166223404255319,0.00448135755258126,0.0255685236433642,0.00291877061381746,0.000808400902175407,1.10677083333333,0.00323457109587269,0.00902812260190493,0.00417310019613571,0.164491138703173,0.00930319099451112,0.00605058747779549,0.0079060794960944,0.00145506892661505,0.00366812505648381,0.0103973357614788,0.000809886260819509,0.0027626761279507,0.188362266456244,0.305772119304771,0.294196964867979,0.00693794599570524,0.207254976223541,0.00397894475069424,0.00684999928645841,0.000675369933881283,0.0033694584202092,0.00690412743164399,0.00135047004798108,0.00278722934395053,0.111056604802006
"Faecalibacterium sp. I3-3-89",0.194555683457903,0.00785576809772576,0.044171384973698,0.0201491033649003,0,0,0.0328795949233905,0.187752744078567,0.0469509500662837,0.0477826342817767,1.11063648013669,0.0196555367189995,0.91164095371669,0,0.492390331244405,0.0800897004645203,0.116356382978723,0.00149378585086042,0.0812176633377452,0.0189720089898135,0.00485040541305244,1.26953125,0.00646914219174537,0.00451406130095247,0.00973723379098332,0.111429481056988,0,0.00753469384027362,0.0111615239944862,0.00426820218473749,0.00419973738351045,0.00908454084210018,0.00101754940461938,0.00270389578480281,0.356361044646948,0.391602889635934,0.541812743631861,0.00761481877577405,0.241972814880276,0.00265262983379616,0.00627916601258687,0.000552575400448323,0.00404335010425104,0.0157661417468885,0.00191316590130652,0.00428804514453928,0.0885727522960783
"Faecalibacterium sp. IP-3-29",0.368034501207867,0.00392788404886288,0.0200779022607718,0.080596413459601,0,0,0.111790622739528,0.115540150202195,0.171232876712329,0.0442618085978563,0.0854335753951303,0.00491388417974988,0.280504908835905,0.000784147670689344,0.26857654431513,0,0,0.00298757170172084,0.0300806160510167,0.00583754122763492,0,0.455729166666667,0,0,0.00973723379098332,0.0477554918815664,0.0186063819890222,0.00291113171101481,0.00362749529820802,0.00257062177035326,0.00303019026405184,0.00372833757103533,0.000394559973219761,0.000999265833514083,0.173089650257089,0.207424361633646,0.188776385790287,0.00186140014518921,0.122038463157009,0.000828946823061301,0.00399583291710074,0.000613972667164803,0.000673891684041841,0.00443100715762226,0.00174435714530889,0.00321603385840446,0.0722208595644946
"Faecalibacterium sp. I2-3-92",0.40046044845085,0.0274951883420401,0.0200779022607718,0.0604473100947008,0,0,0.10521470375485,0.158867706528018,0.169851966416262,0.0442618085978563,0.170867150790261,0.00245694208987494,0.350631136044881,0.000784147670689344,0.402864816472695,0,0.0332446808510638,0.00298757170172084,0.0195524004331609,0.0131344677621786,0.000808400902175407,0.260416666666667,0.00323457109587269,0.00451406130095247,0.0153013673858309,0.0636739891754218,0,0.00764885586815656,0.00548774929728905,0.000582027570646022,0.00186064314459324,0.00430596733556193,0.000415326287599748,0.00141072823554929,0.108605270749546,0.241399041556398,0.225551006398784,0.00507654585051603,0.116778184572655,0.00265262983379616,0.00485208282790804,0.00122794533432961,0.00202167505212552,0.00566756729463312,0.000731504609323082,0,0.0258904968250075
"Faecalibacterium duncaniae",0.270756659478915,0.0392788404886288,0.0281090631650805,0.0654845859359258,0,0,0.157822055632275,0.216637781629116,0.216802916482545,0.0382261074254214,0.256300726185391,0.00245694208987494,0.140252454417952,0,0.17905102954342,0,0.132978723404255,0.00149378585086042,0.00300806160510167,0.0131344677621786,0.000808400902175407,0.358072916666667,0.0161728554793634,0.0157992145533336,0.0194744675819666,0.0663270720577311,0,0.00759177485421509,0.00576678739715121,0.00329815623366079,0.00202012684270123,0.00540871506783999,0.000456858916359723,0.00111682651980986,0.0882417824840062,0.185966669050855,0.299100247615779,0.00423045487543003,0.163068636114969,0.00265262983379616,0.00656458264952264,0.000552575400448323,0.00215645338893389,0.00494624054804345,0.000675235023990538,0.000643206771680892,0.052462322513831
"Ruthenibacterium lactatiformans",0.123218599523339,0.0157115361954515,0.0120467413564631,0,0,0.0664783114508891,0.144670217662918,0.231080300404391,0.0469509500662837,0.0140833027356816,0.0854335753951303,0,0.0701262272089762,0.00156829534137869,0.104446433900328,0,0.0166223404255319,0,0.00752015401275418,0.00145938530690873,0.000808400902175407,0.227864583333333,0,0,0.157186774054445,0.169797304467792,0,0.00222615954371721,0.000930126999540517,0.000679032165753692,0.00143535328297193,0.000840188748402329,0.000124597886279925,0.000529023088330985,0.0237574029764632,0.060796795651241,0.0318713378606977,0.00236905473024081,0.0210411143374153,0,0.00313958300629344,0.000368383600298882,0.00107822669446694,0.00226702691785325,0,0.00107201128613482,0.0156705638677677
"Oscillibacter sp. PEA192",0.0145916762593427,0.0235673042931773,0,0,0,0,0,0.0144425187752744,0.0041427308882015,0.00603570117243495,0,0,0,0.00470488602413606,0.0596836765144733,0,0,0.00298757170172084,0,0.00291877061381746,0.00161680180435081,0.29296875,0,0,0.00556413359484761,0.0371431603523294,0,0.00165534940430254,0.00232531749885129,0,0.000106322465405328,0.000262558983875728,0.000477625230739711,0.000352682058887323,0.0169695735546166,0.0214576925827909,0.0122582068694991,0,0.0199890586205445,0.00182368301073486,0.00142708318467883,0.000491178133731843,0.000404335010425104,0.00226702691785325,0,0,0.00340664431907993
"Dysosmobacter welbionis",0.103763031177548,0.0196394202443144,0.0120467413564631,0.0151118275236752,0,0,0,0.072212593876372,0.0041427308882015,0.0135803276379786,0.0854335753951303,0.00245694208987494,0.210378681626928,0,0.0895255147717099,0,0.0166223404255319,0.00448135755258126,0,0.00145938530690873,0,0.423177083333333,0,0.00451406130095247,0.0013910333987119,0.0636739891754218,0,0.000970377237004936,0.00102313969949457,0,0.000903740955945286,0.000787676951627183,4.15326287599748e-05,0.000117560686295774,0.0169695735546166,0.0679493598455046,0.014709848243399,0.000846090975086005,0.0252493372048984,0.00066315745844904,0.000856249910807301,0,0.000539113347233472,0.00113351345892662,0.000225078341330179,0.000428804514453928,0.00545063091052789
"Anaerotruncus colihominis",0.181585304560709,0.0117836521465886,0.0240934827129262,0.0302236550473504,0,0,0.0197277569540343,0.072212593876372,0.00966637207247017,0.00955652685635534,0,0.00245694208987494,0.0701262272089762,0.000784147670689344,0.119367353028947,0,0.0332446808510638,0,0.00752015401275418,0.00729692653454365,0.000808400902175407,0.1953125,0,0,0.00834620039227142,0.0769394035869681,0,0.00114162027882934,0.00455762229774853,0.000291013785323011,0.000584773559729303,0.000892700545177474,0.000311494715699811,0.000529023088330985,0.0339391471092331,0.0929833345254274,0.13729191693839,0.00135374556013761,0.035769894373606,0.00016578936461226,0.00371041628016497,0.000306986333582402,0.000943448357658577,0.000618280068505432,0.000337617511995269,0.00128641354336178,0.0231651813697436
"Pusillibacter faecalis",0.0810648681074596,0.0117836521465886,0.0200779022607718,0.00503727584122507,0,0,0.0197277569540343,0.115540150202195,0.0151900132567388,0.00452677587932621,0.0854335753951303,0,0.210378681626928,0,0.0895255147717099,0,0,0,0.0150403080255084,0.00291877061381746,0.000808400902175407,0.260416666666667,0.00646914219174537,0,0.0013910333987119,0.0397962432346387,0.00930319099451112,0.000627891153356135,0.000372050799816207,0,0.00026580616351332,0.00131279491937864,0,0.000529023088330985,0.0424239338865414,0.0536442314569773,0.0661943170952953,0.000846090975086005,0.00841644573496612,0.00066315745844904,0.00114166654774307,0.000245589066865921,0,0.000412186712336954,0.000281347926662724,0.000643206771680892,0.0115825906848718
"Solibaculum mannosilyticum",0.0259407577943871,0,0.00401558045215436,0.00503727584122507,0,0,0,0,0,0.00100595019540583,0,0,0,0,0,0,0.0332446808510638,0,0.00150403080255084,0,0,0.0325520833333333,0,0,0,0.0132654144115462,0,0.000513729125473202,0,0,0.000106322465405328,0.000367582577426019,6.22989431399623e-05,0.000176341029443662,0,0.0143051283885273,0,0.000676872780068804,0.00105205571687077,0,0,0,0.000269556673616736,0.00175179352743206,0.00011253917066509,0,0.000681328863815987
"Vescimonas coprocola",0.612850402892394,0.0353509564397659,0,0.0654845859359258,0,0,0.0328795949233905,0.288850375505488,0.0124281926646045,0.0296755307644719,0,0.00245694208987494,0.350631136044881,0,0.193971948672038,0,0,0.00448135755258126,0.0150403080255084,0.0145938530690873,0,1.04166666666667,0,0.00902812260190493,0.00695516699355952,0.185715801761647,0,0.00308237475283921,0.00372050799816207,0.00101854824863054,0.00217961054080922,0.00215298366778097,0.000166130515039899,0.000764144460922534,0.127271801659624,0.246763464702096,0.210841158155385,0.00152296375515481,0.0967891259521104,0.00198947237534712,0.00228333309548614,0.000552575400448323,0.00161734004170042,0.00484319386995921,0.000337617511995269,0.00128641354336178,0.0436050472842232
"Vescimonas fastidiosa",0.152401952042024,0.00392788404886288,0.00803116090430872,0.0151118275236752,0,0,0.0263036759387124,0.231080300404391,0.00828546177640301,0.0266576801782544,0.170867150790261,0,0.140252454417952,0.000784147670689344,0.134288272157565,0.0160179400929041,0.0332446808510638,0,0.00902418481530502,0.00729692653454365,0,0.553385416666667,0.00323457109587269,0.0157992145533336,0.00278206679742381,0.0663270720577311,0,0.00228324055765867,0.00223230479889724,0.00101854824863054,0.000478451094323975,0.000525117967751455,0.000186896829419887,0.000705364117774647,0.059393507441158,0.0840426292825978,0.14464684106009,0.00270749112027522,0.0578630644278921,0.0016578936461226,0,0.000798164467314244,0.00121300503127531,0.000927420102758147,0.00011253917066509,0.000428804514453928,0.0361104297822473
"Ruminococcus sp. FMB-CY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000285405069707334,0,0,0,0,0,0,0.00678782942184663,0,0,0,0,0.000828946823061301,0,0,0,0.000103046678084239,0,0,0
"Ruminococcus albus",0.00810648681074596,0,0,0,0,0,0,0,0,0.00301785058621748,0,0,0,0.00156829534137869,0,0,0.0166223404255319,0,0,0,0.000808400902175407,0.0325520833333333,0,0,0,0.010612331529237,0,0.000513729125473202,0.000465063499770259,4.85022975538351e-05,0,0.000157535390325437,0.000290728401319824,0.000293901715739436,0,0.0160932694370932,0.00245164137389983,0.000507654585051603,0.0031561671506123,0,0.000285416636935767,0.000122794533432961,0.000404335010425104,0.000103046678084239,0,0,0.000681328863815987
"Ruminococcus bicirculans (ex Wegman et al. 2014)",0.616092997616693,0.0117836521465886,0.0682648676866241,0.0251863792061253,0,0.0332391557254446,0.0460314328927468,0.303292894280763,0.0124281926646045,0.063374862310567,0.213583938487826,0.00982776835949977,0.631136044880785,0,0.387943897344076,0.0320358801858081,0.0831117021276596,0.00298757170172084,0.139874864637228,0.00875631184145238,0.0113176126304557,0.618489583333333,0.00323457109587269,0.00225703065047623,0,0.214899713467049,0.0372127639780445,0.00565102038020522,0.00576678739715121,0.00232811028258409,0.00467818847783442,0.00808681670337241,0.00101754940461938,0.000646583774626759,0.101817441327699,0.300407696159073,0.335874868224276,0.00338436390034402,0.175693304717418,0.00116052555228582,0.00456666619097227,0.000184191800149441,0.000404335010425104,0.0130869281166983,0.00146300921864616,0.00192962031504268,0.0701768729730466
"Ruminococcus bovis",0.00648518944859677,0,0.00401558045215436,0,0,0,0.00657591898467811,0,0,0.00452677587932621,0,0,0,0,0.0149209191286183,0,0,0,0.0210564312357117,0.00875631184145238,0.000808400902175407,0,0.00323457109587269,0,0.00278206679742381,0.00265308288230924,0.0279095729835334,0.00131286332065374,0.000465063499770259,0.000921543653522867,0.0013290308175666,0.0011552595290532,0.000207663143799874,0.000940485490366196,0.0373330618201565,0.0447035262141478,0.0735492412169948,0.000846090975086005,0.0147287800361907,0,0.000285416636935767,0.000245589066865921,0.000404335010425104,0.0013396068150951,5.62695853325448e-05,0,0.00681328863815987
"Ruminococcus gauvreauii",0.0113490815350443,0,0,0,0,0,0,0,0,0.00251487548851456,0,0,0,0,0,0,0,0,0,0.00145938530690873,0,0,0,0.00225703065047623,0.0013910333987119,0.00265308288230924,0,0.000570810139414668,0.000186025399908103,0.000145506892661505,0.000584773559729303,0.000105023593550291,0.000269962086939836,5.87803431478872e-05,0.0135756588436933,0.0160932694370932,0.0269680551128981,0.000846090975086005,0.00210411143374153,0,0,0.000245589066865921,0.000134778336808368,0,0,0,0.00408797318289592
"Lawsonibacter asaccharolyticus",0.0664731918481169,0.0549903766840803,0.0120467413564631,0,0,0.0332391557254446,0.00657591898467811,0.0288850375505488,0.00552364118426867,0.0145862778333845,0.170867150790261,0,0,0,0.119367353028947,0.0160179400929041,0.0664893617021277,0,0.00752015401275418,0.00291877061381746,0,0.748697916666667,0,0,0.00834620039227142,0.124694895468534,0,0.000856215209122003,0.00111615239944862,0.000145506892661505,0.000106322465405328,0.00189042468390524,0.000622989431399623,0.000587803431478872,0.0322421897537715,0.0715256419426364,0.0343229792345976,0.000507654585051603,0.0210411143374153,0.000828946823061301,0.000856249910807301,0.000368383600298882,0,0.000515233390421193,0.000168808755997634,0.000214402257226964,0.0122639195486878
"Subdoligranulum variabile",0.132946383696234,0.00785576809772576,0.00803116090430872,0.0151118275236752,0,0,0.0197277569540343,0.0577700751010976,0.00690455148033584,0.0100595019540583,0.0854335753951303,0,0.0701262272089762,0,0.119367353028947,0,0,0.00149378585086042,0.0135362772229575,0.016053238375996,0.000808400902175407,0.520833333333333,0,0,0.00556413359484761,0.0583678234108034,0,0.00348194185042948,0.00567377469719716,0.00135806433150738,0.00239225547161988,0.00162786570002951,0.000477625230739711,0.000940485490366196,0.186665309100782,0.160932694370932,0.152001765181789,0.00693794599570524,0.0694356773134705,0.00431052347991876,0.000856249910807301,0.000613972667164803,0.00134778336808368,0.00381272708911683,0.000337617511995269,0.000857609028907856,0.0340664431907993
"Caproicibacterium argilliputei",0.0113490815350443,0,0.00401558045215436,0,0,0,0,0,0.00552364118426867,0.000502975097702913,0,0,0,0.00470488602413606,0,0,0,0,0,0,0.000808400902175407,0,0,0,0,0,0,0.00296821272495628,0.000465063499770259,4.85022975538351e-05,0.000159483698107992,0.000210047187100582,0.000124597886279925,0.000764144460922534,0.00169695735546166,0.0214576925827909,0.0392262619823972,0.000507654585051603,0.0031561671506123,0.00049736809383678,0,0.000368383600298882,0.000404335010425104,0,0,0,0
"Caproicibacterium amylolyticum",0.00486389208644757,0.00392788404886288,0,0,0,0,0,0,0,0.000502975097702913,0,0,0.0701262272089762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000570810139414668,0,0,0.000106322465405328,0.000157535390325437,0,5.87803431478872e-05,0,0,0.00735492412169948,0.000338436390034402,0.0031561671506123,0,0,6.13972667164803e-05,0,0.000103046678084239,0,0.000428804514453928,0.00136265772763197
"Caproicibacterium lactatifermentans",0.00162129736214919,0,0.00401558045215436,0,0,0,0,0,0.00138091029606717,0.00100595019540583,0,0,0,0,0,0,0,0,0,0.00145938530690873,0,0,0,0,0,0.00265308288230924,0,0.000171243041824401,0,0,0.000850579723242622,0.000157535390325437,0,0,0,0.00715256419426364,0.00245164137389983,0.000338436390034402,0,0,0,0.000122794533432961,0.000134778336808368,0,0.00011253917066509,0,0.00136265772763197
"Caproicibacterium sp. BJN0003",0,0.00392788404886288,0,0.0100745516824501,0,0,0,0,0,0.00201190039081165,0,0,0,0.000784147670689344,0,0,0,0,0.00150403080255084,0,0.000808400902175407,0,0,0,0,0,0,0.000228324055765867,0.000279038099862155,0.000873041355969032,0.000850579723242622,0.000315070780650873,0.000249195772559849,0,0.00169695735546166,0.0107288462913955,0.00245164137389983,0.000169218195017201,0.00105205571687077,0,0.00142708318467883,0.000491178133731843,0,0.000309140034252716,0.00286974885195979,0.00364483837285839,0.00340664431907993
"Petroclostridium sp. X23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000399567097590268,0.000186025399908103,0.000145506892661505,0.000318967396215983,5.25117967751455e-05,4.15326287599748e-05,0.000117560686295774,0,0,0.00245164137389983,0.000338436390034402,0,0.00016578936461226,0.000285416636935767,0.000368383600298882,0.000134778336808368,0,0,0,0
"Ethanoligenens harbinense",0.00648518944859677,0,0,0,0,0,0,0.0144425187752744,0.00138091029606717,0.000502975097702913,0,0.00245694208987494,0,0.000784147670689344,0,0,0,0,0.00150403080255084,0,0.000808400902175407,0,0,0,0,0,0,5.70810139414668e-05,9.30126999540517e-05,0,0,0.000105023593550291,4.15326287599748e-05,0,0,0.00357628209713182,0.0098065654955993,0.000338436390034402,0,0.00049736809383678,0,0.000552575400448323,0.000269556673616736,0,0,0,0
"Thermocaproicibacter melissae",0.00162129736214919,0,0,0,0,0,0,0,0.00138091029606717,0,0,0,0,0.000784147670689344,0,0,0,0,0,0,0,0,0,0,0,0.00530616576461849,0,0.000114162027882934,0,9.70045951076702e-05,5.31612327026639e-05,5.25117967751455e-05,6.22989431399623e-05,5.87803431478872e-05,0,0,0.00490328274779965,0.000676872780068804,0.00420822286748306,0,0,0.000306986333582402,0,0,0,0,0
"Amygdalobacter nucleatus",0.00648518944859677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00145938530690873,0,0,0,0,0,0,0,0.000285405069707334,9.30126999540517e-05,4.85022975538351e-05,0.000318967396215983,0.000105023593550291,2.07663143799874e-05,0.000176341029443662,0,0,0,0.000846090975086005,0.00105205571687077,0.00016578936461226,0,0.000552575400448323,0.000269556673616736,0.000412186712336954,0.00011253917066509,0,0.00204398659144796
