"","garrett_56","garrett_64","garrett_79","garrett_74","garrett_80","garrett_81","garrett_83","garrett_59","garrett_94","garrett_92","garrett_84","garrett_86","garrett_87","garrett_37","garrett_93","garrett_75","garrett_65","garrett_77","garrett_69","garrett_72","garrett_63","garrett_54","garrett_33","garrett_91","garrett_55","garrett_88","garrett_44","garrett_90","garrett_52","garrett_42","garrett_58","25617X43","25617X44","25617X45","25617X46","25617X47","25617X48","25617X49","25617X50","25617X51","25617X52","25617X53","25617X54","25617X55","25617X56","25617X57","25617X58","25617X59","25617X60","25617X61","25617X62","25617X63"
"Microbacterium sp. Nx66",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658761528326746,0,0,0,0.000109614748006656,0,0,0,0,0,0,0,0.0153657037492317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacterium sp. H1-D42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00233189015242789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120467413564631,0,0,0,0,0.00201584453806922,0,0,0.00205300868422673,0,0,0,0,0,0,0,0,0,0
"Microbacterium sp. 4R-513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328515111695138,0,0,0,0,0,0,0,0,0,0,0,0.00625410425591795,0,0,0,0,0,0,0
"Microbacterium elymi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000328844244019967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126455822658354,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacterium luteum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219229496013312,0,0,0,0,0,0,0,0.0153657037492317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113704844963444,0.0143710607895871,0,0.00569508514152287,0,0,0,0,0,0,0,0
"Microbacterium proteolyticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000328844244019967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011983223487118,0,0,0,0.00201584453806922,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacterium resistens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000767303236046591,0,0,0,0,0,0,0,0.0153657037492317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113704844963444,0,0,0,0,0,0,0,0,0,0,0
"Microbacterium hydrocarbonoxydans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000438458992026623,0,0.00155459343495192,0,0,0,0,0,0.0614628149969269,0,0,0,0,0,0,0,0,0,0,0,0,0.00604753361420767,0,0,0,0,0,0,0,0.00522966965919986,0,0,0,0,0
"Microbacterium arborescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307314074984634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113901702830457,0,0,0,0,0,0,0,0
"Microbacterium limosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000328844244019967,0,0,0,0,0,0,0,0.0307314074984634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacterium abyssi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109614748006656,0,0.00310918686990385,0,0,0,0,0,0.0614628149969269,0,0,0,0,0,0,0,0,0,0,0,0,0.0080633781522769,0.00126455822658354,0,0,0,0,0.00625410425591795,0,0,0,0,0,0,0
"Microbacterium chengjingii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000986532732059902,0,0.00155459343495192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126455822658354,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacterium wangchenii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000657688488039935,0,0,0,0,0,0,0,0.0307314074984634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacterium liquefaciens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219229496013312,0,0,0,0,0,0,0,0.0307314074984634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250164170236718,0,0,0,0,0,0,0
"Microbacterium oxydans",0,0,0,0,0,0,0,0,0.12970168612192,0.0180635838150289,0,0,0.0696378830083565,0,0,0,0,0.00350767193621299,0,0.00155459343495192,0,0,0,0,0,0.0768285187461586,0,0,0.376647834274953,0,0,0,0,0.0421635947476208,0,0,0,0,0,0,0.00227409689926888,0,0,0,0,0,0,0,0,0,0.00135308842432853,0
"Rathayibacter sp. VKM Ac-2801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109614748006656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rathayibacter tritici",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219229496013312,0,0.000777296717475962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201584453806922,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agromyces protaetiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219229496013312,0,0,0,0,0,0,0,0.0307314074984634,0,0,0,0,0,0,0,0,0,0,0.00128726636115545,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00135308842432853,0
"Agromyces marinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109614748006656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00205300868422673,0,0,0,0,0,0,0,0,0,0
"Agromyces archimandritae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109614748006656,0,0,0,0,0,0,0,0.0460971112476952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agromyces badenianii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219229496013312,0,0.000777296717475962,0,0,0,0,0,0.0307314074984634,0,0,0,0,0,0.0177777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cryobacterium sp. SO1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000548073740033279,0,0.000777296717475962,0,0,0,0,0,0.0153657037492317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113704844963444,0,0,0,0,0,0,0,0,0,0,0
"Cryobacterium sp. PAMC25264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000438458992026623,0,0.000777296717475962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microcella alkaliphila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000438458992026623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201584453806922,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microcella flavibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000328844244019967,0,0.000777296717475962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201584453806922,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microcella daejeonensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328515111695138,0,0,0,0,0,0.00201584453806922,0,0,0.00205300868422673,0,0,0,0,0,0,0,0,0,0
"Clavibacter capsici",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109614748006656,0,0,0,0,0,0,0,0.0307314074984634,0,0,0,0,0,0,0,0,0.00399440782903935,0,0,0,0,0,0.00113704844963444,0,0,0,0,0,0,0,0,0,0,0
"Clavibacter sepedonicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109614748006656,0,0,0,0,0,0,0,0.0153657037492317,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126455822658354,0,0,0,0,0,0,0,0,0,0,0,0
"Salinibacterium hongtaonis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019730654641198,0,0.00233189015242789,0,0,0,0,0,0.0460971112476952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salinibacterium sp. ZJ70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000328844244019967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leifsonia xyli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109614748006656,0,0.00388648358737981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00410601736845347,0,0,0,0,0,0,0,0,0,0
"Leifsonia shinshuensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000328844244019967,0,0.000777296717475962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934666791288906,0,0
"Agrococcus sp. Marseille-Q4369",0,0,0,0,0,0,0,0,0,0,0,0.0796178343949045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128726636115545,0.01346348030966,0,0,0,0.00205300868422673,0,0.0227803405660915,0.00625410425591795,0,0,0,0,0,0,0
"Frigoribacterium sp. NBH87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307314074984634,0,0,0,0,0,0.0177777777777778,0,0,0,0,0,0,0,0,0,0,0.00590737240075614,0,0,0,0,0,0,0,0,0
"Mycetocola spongiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120576222807321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cellulosimicrobium cellulans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000767303236046591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031210986267166,0,0,0,0,0,0
"Cellulosimicrobium protaetiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109614748006656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00410601736845347,0,0,0.0250164170236718,0,0,0,0,0,0,0
"Cellulosimicrobium sp. 72-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109614748006656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isoptericola variabilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109614748006656,0,0.000777296717475962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201952204644901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isoptericola sp. AK164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000548073740033279,0,0.00155459343495192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00312705212795897,0,0,0,0,0,0,0
"Brachybacterium sp. Z12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109614748006656,0.393700787401575,0,0,0,0,0,0,0.0460971112476952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00590737240075614,0,0,0,0,0,0,0,0,0
"Brachybacterium sp. P6-10-X1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78740157480315,0.000777296717475962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00403168907613845,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brachybacterium kimchii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000438458992026623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201584453806922,0,0,0,0,0,0.0187623127677538,0,0,0,0,0,0,0
"Brachybacterium saurashtrense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000328844244019967,0.393700787401575,0.00155459343495192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011983223487118,0,0,0,0,0,0,0,0,0.00569508514152287,0,0,0,0,0,0,0.00135308842432853,0
"Brachybacterium ginsengisoli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000438458992026623,0,0,0,0,0,0,0,0.0153657037492317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dermabacter vaginalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00164422122009984,0,0.000777296717475962,0,0,0,0.141542816702052,0,0.0307314074984634,0,0,0,0,0,0,0,0.00602337067823154,0,0,0,0,0,0,0.00113704844963444,0,0,0,0,0,0,0,0,0,0,0
"Brevibacterium spongiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000328844244019967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brevibacterium casei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142499172408653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542103361040838,0.0439384861194328,0.00802987112056851,0,0.01346348030966,0.0120950672284153,0.00379367467975063,0.00454819379853776,0.0328481389476278,0,0.0398655959906601,0.171987867037744,0.031210986267166,0,0,0,0,0.00270617684865706,0
"Brevibacterium sp. SMBL_HHYL_HB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000657688488039935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00604753361420767,0,0,0,0,0,0,0,0,0,0,0,0,0
"Janibacter sp. DB-40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Janibacter sp. CX7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000548073740033279,0.78740157480315,0.000777296717475962,0,0,0,0,0,0,0,0,0,0.0398565165404544,0,0,0,0,0,0,0,0.00673174015483002,0.00403168907613845,0,0.00454819379853776,0.0061590260526802,0,0,0,0,0,0,0,0,0,0
"Janibacter melonis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219229496013312,0,0,0,0,0,0,0,0.0153657037492317,0,0,0,0,0,0,0,0.0120467413564631,0.00399440782903935,0,0,0,0.0080633781522769,0,0,0.039007165000308,0,0.0170852554245686,0,0,0,0,0,0,0,0
"Phycicoccus sp. HDW14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109614748006656,0,0,0,0,0,0,0,0.0153657037492317,0,0,0,0,0,0,0,0,0.00399440782903935,0,0,0,0.00604753361420767,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruania halotolerans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142499172408653,0,0.00388648358737981,0,0,0,0,0,0.0153657037492317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170852554245686,0,0,0,0,0,0,0,0
"Ruania zhangjianzhongii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000986532732059902,0,0.00388648358737981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00205300868422673,0,0,0,0,0,0,0,0,0,0
"Occultella kanbiaonis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153460647209318,0,0.00310918686990385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beutenbergia cavernae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000767303236046591,0,0.00388648358737981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113704844963444,0,0,0,0,0,0,0,0,0,0,0
"Pengzhenrongella sicca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000548073740033279,0,0.00233189015242789,0,0,0,0,0,0.0460971112476952,0,0,0,0,0,0,0,0,0.00399440782903935,0,0,0,0.00201584453806922,0,0,0,0,0,0.00312705212795897,0,0,0,0,0,0,0
"Serinicoccus hydrothermalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109614748006656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00205300868422673,0,0,0,0,0,0,0,0,0,0
"Jonesia denitrificans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00350767193621299,0,0.0062183737398077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00401493556028426,0,0,0,0.00126455822658354,0,0,0,0.0170852554245686,0,0,0,0,0,0,0,0
"Barrientosiimonas endolithica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000438458992026623,0,0.00155459343495192,0,0,0,0,0,0.0921942224953903,0,0,0,0,0,0,0,0,0.00798881565807869,0,0,0,0.0463644243755922,0.00252911645316709,0,0.00410601736845347,0.0354442344045369,0.00569508514152287,0.0281434691516308,0.015605493133583,0,0,0,0,0,0.00161838485191779
"Demequina sp. TMPB413",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186345071611315,0,0.000777296717475962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arachnia rubra",0,0,0,0,0.14903129657228,0,0,0,0,0,0,0,0,0,0,0,0,0.000109614748006656,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195555555555556,0.197109067017083,0,0,0.0120448066808528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cutibacterium acnes",5.91766723842195,12.8164556962025,2.97265160523187,0.92946965554948,14.4560357675112,15.7142857142857,27.4336283185841,20.1907790143084,11.8028534370947,0.596098265895954,0.761421319796954,1.23407643312102,8.63509749303621,0.72463768115942,11.4982578397213,12.3809523809524,7.45501285347044,0.00756341761245925,8.26771653543307,0.00777296717475962,21.5384615384615,2.98165137614679,11.7139334155364,2.9723991507431,1.20754716981132,0.952673632452366,10.8575380359613,12.5874125874126,11.6760828625235,4.70306895177362,1.48148148148148,10.9333333333333,11.5965834428384,16.7028068907361,30.3774715398442,0.271008150319187,0.212398949590649,7.63379333557725,14.647126413611,40.8515535097814,35.9182234755023,31.7662033710403,11.9033553875236,20.8383165328322,4.9845210919666,2.23158551810237,0.305064063453325,45.2130096197893,29.4736842105263,5.91644078885877,0.740139368107706,1.1377245508982
"Cutibacterium avidum",0.0857632933104631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00712495862043263,0,0.0147686376320433,0,0,0.246609124537608,0,0,0,0,0,0,0,0,0,0,0.162631008312252,0.575194727381666,0.505881880595816,0.244580608619536,0.01346348030966,0.0221742899187615,0.552611945017008,1.61915699227944,1.48432527869593,0.112240075614367,0.102511532547412,0,0.0624219725343321,0,0.0916170407695831,0,0,0,0
"Cutibacterium modestum",0,0.105485232067511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000657688488039935,0,0.00699567045728366,0,0,0,0,0,0,0,0,0.188323917137476,0.199282582702272,0,0,0,0.0542103361040838,0.0319552626323148,0,0.00386179908346635,0.0201952204644901,0.0120950672284153,0.0101164658126683,0.0295632596904954,0.0205300868422673,0.0472589792060491,0,0.0656680946871384,0,0,0,0,0,0.00270617684865706,0.00161838485191779
"Propioniciclava coleopterorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109614748006656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201584453806922,0,0,0,0,0,0,0,0,0,0,0,0,0
"Propioniciclava sp. MC1595",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109614748006656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00399440782903935,0,0,0,0.00201584453806922,0,0,0,0,0,0.00625410425591795,0,0,0,0,0,0,0
"Propionibacterium australiense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000767303236046591,0,0.00233189015242789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00673174015483002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Propionibacterium freudenreichii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153460647209318,0,0.00388648358737981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240934827129262,0,0,0.00128726636115545,0,0,0.0101164658126683,0.0113704844963444,0.00821203473690694,0,0,0,0,0,0,0,0,0,0
"Brooklawnia propionicigenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000986532732059902,0,0.00466378030485577,0,0,0,0,0,0,0,0,0,0,0,0.0177777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031210986267166,0,0,0,0,0,0
"Microlunatus sp. Gsoil 973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00410601736845347,0,0,0,0,0,0,0,0,0,0
"Propionimicrobium sp. PCR01-08-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000438458992026623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Raineyella fluvialis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000438458992026623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nocardioides piscis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109614748006656,0,0.000777296717475962,0,0,0,0,0,0.0614628149969269,0,0,0,0,0,0,0,0,0,0,0,0,0.00201584453806922,0,0.00227409689926888,0,0,0.00569508514152287,0,0,0,0,0,0,0,0
"Nocardioides sp. Kera G14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000767303236046591,0,0.000777296717475962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nocardioides sp. NBC_00368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000548073740033279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011983223487118,0,0,0,0.00201584453806922,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nocardioides sp. S5",0,0,0,0,0,0,0,0,0,0,0,0,0.0696378830083565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00604753361420767,0,0,0,0.00590737240075614,0,0,0,0,0,0,0,0,0
"Nocardioides sp. QY071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219229496013312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126455822658354,0,0,0,0,0,0,0,0,0,0,0,0
"Nocardioides sp. LMS-CY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219229496013312,0,0,0,0,0,0,0,0,0,0,0.188323917137476,0,0,0,0,0,0,0,0,0,0.00201584453806922,0,0.00113704844963444,0,0.0118147448015123,0,0,0,0,0,0,0,0,0
"Nocardioides sp. zg-1228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109614748006656,0,0,0,0,0,0,0,0.0307314074984634,0.276625172890733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113901702830457,0,0,0,0,0,0,0.00135308842432853,0
"Nocardioides sp. S-1144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000328844244019967,0,0,0,0,0,0,0,0.122925629993854,0,0,0,0,0,0,0.0328515111695138,0,0,0,0,0,0,0.00126455822658354,0,0,0.00590737240075614,0,0.00625410425591795,0,0,0,0,0,0,0
"Nocardioides sp. JS614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000438458992026623,0,0,0,0,0,0,0,0.0307314074984634,0,0,0,0,0,0,0.0328515111695138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nocardioides mesophilus",0,0,0,0,0,0,0,0,0,0,0,0,0.0696378830083565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00604753361420767,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nocardioides aromaticivorans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219229496013312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00602337067823154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nocardioides campestrisoli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201584453806922,0,0,0,0,0,0,0,0,0,0,0.00934666791288906,0,0
"Nocardioides cynanchi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000328844244019967,0,0.00155459343495192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201584453806922,0,0,0,0,0,0,0,0,0,0,0,0.00270617684865706,0
"Nocardioides seonyuensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000548073740033279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00673174015483002,0.0080633781522769,0,0,0,0,0,0.0281434691516308,0,0,0,0,0,0,0
"Nocardioides baekrokdamisoli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000328844244019967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nocardioides aquaticus",0,0,0.0396353547364249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153657037492317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177221172022684,0,0,0,0,0,0,0,0,0
"Nocardioides daphniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219229496013312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00673174015483002,0,0,0,0,0,0.00569508514152287,0,0,0,0,0,0,0,0
"Aeromicrobium chenweiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109614748006656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126455822658354,0,0,0,0,0,0,0,0,0,0.0280400037386672,0,0
"Aeromicrobium sp. Leaf245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307314074984634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00227409689926888,0,0,0,0,0,0,0,0,0,0,0
